StateID;StationID;CurrentRule;LocalAveProcTime;LocalAveRemainingProcTime;LocalAveLeadTime;LocalAveSlackTime;LocalAveCriticalRatio;GlobalAveRemainingProcTime;GlobalAveLeadTime;GlobalAveSlackTime;Op2Rule;Op3Rule;GlobalObjExitLeadtime;nor_LeadTime;GlobalObjExitTardiness
14674;3;3;1439.1977;4317.5932;35446.8034;13860.6034;11.0944;2952.6213;15773.1734;13815.872;2;3;21066.4509;87.4191;-1934.6395
14675;2;2;678.8842;2715.5366;11934.494;23099.9694;17.7161;2882.0532;16264.9454;13394.6681;2;1;21066.4509;87.4191;-1934.6395
14676;3;1;1575.902;4727.7059;34625.8891;14521.405;10.5459;2807.0532;15738.3818;13037.8984;4;1;21066.5556;87.3144;-1934.5346
14677;2;4;799.4676;3197.8703;12275.8879;22526.2418;16.6253;2962.6725;16229.9221;13432.4054;4;2;21066.5556;87.3144;-1934.5346
14678;3;2;1575.902;4727.7059;34300.0088;14847.2853;10.5579;2887.6725;15703.3585;13075.6356;3;2;21066.6603;87.2097;-1934.4297
14679;3;0;1500.902;4502.7059;32995.634;13501.6602;9.5164;2821.6346;15644.1725;13117.5263;3;0;21066.765;87.105;-1934.3249
14680;3;0;1425.902;4277.7059;31616.2591;12231.0351;8.5165;3033.9565;15598.3615;13034.3487;3;0;21066.8697;87.0003;-1934.2201
14681;2;3;786.2473;3144.9893;14908.0245;22571.9863;17.1779;2968.7621;15742.6949;12955.2097;3;3;21066.8697;87.0003;-1934.2201
14682;3;3;1582.8681;4748.6044;30242.9662;13633.4295;8.4854;2930.1448;15206.593;12654.9289;4;3;21066.7116;87.1584;-1934.1056
14683;2;4;818.1272;3272.5087;16937.9858;20414.5055;15.5331;2946.1927;16551.862;12251.9453;4;1;21066.7116;87.1584;-1934.1056
14684;3;1;1527.3564;4582.0693;31846.9695;12195.9612;6.8711;2843.1927;16713.0805;12110.3935;1;1;21066.3625;87.5075;-1934.727
14685;3;2;1492.4609;4477.3828;29827.623;11694.9942;6.4756;2808.2972;16237.7062;11745.6633;1;2;21066.3399;87.5301;-1934.4771
14686;3;1;1450.2848;4350.8545;27882.5901;11141.5554;6.0608;2866.1211;15838.7808;12170.0982;1;1;21066.3253;87.5447;-1934.2193
14687;2;1;788.759;3155.0361;19576.3055;20518.6584;15.407;2806.3317;16068.7129;11999.9555;1;1;21066.3253;87.5447;-1934.2193
14688;3;1;1597.0324;4791.0971;26154.8554;12929.0474;6.3919;2773.7111;15327.5091;11898.7798;0;1;21066.3002;87.5698;-1933.972
14689;2;0;825.3459;3301.3834;18110.1884;22088.4282;15.7644;3011.1518;15617.4536;12413.0613;0;3;21066.3002;87.5698;-1933.972
14690;2;3;785.5218;3142.0872;16685.1322;21047.7806;14.889;2997.8771;16055.5183;11988.2713;3;3;21066.3002;87.5698;-1933.972
14691;3;3;1600.2696;4800.8088;28732.8211;12716.3701;6.8146;2922.8771;15203.0146;11957.4416;2;3;21066.5225;87.3475;-1933.7498
14692;2;2;750.0457;3000.1828;15084.0803;20165.7369;14.0972;2911.0518;15490.9678;11681.3137;2;1;21066.5225;87.3475;-1933.7498
14693;3;1;1594.2021;4782.6063;28926.0419;12541.3519;6.9847;2869.5082;14773.0736;11565.7516;2;1;21066.5071;87.3629;-1933.4929
14694;2;2;718.0386;2872.1545;13442.279;19310.5665;13.2794;2858.8391;14953.4841;11396.0101;2;2;21066.5071;87.3629;-1933.4929
14695;3;2;1587.689;4763.0671;29037.1306;12449.8024;7.2812;2820.319;14299.05;11213.9643;4;2;21066.4885;87.3815;-1933.2394
14696;2;4;808.1857;3232.7429;13083.2688;19558.9883;12.6549;2805.6135;14849.3525;11553.3673;4;1;21066.4885;87.3815;-1933.2394
14697;3;1;1587.689;4763.0671;28982.3494;12504.5835;7.2546;3057.477;14135.9351;12098.2546;3;1;21066.6783;87.1917;-1933.0496
14698;3;3;1512.689;4538.0671;27657.6748;11179.2581;6.3364;2982.477;14069.3769;11281.4794;3;3;21066.5601;87.3099;-1933.1678
14699;3;2;1474.2759;4422.8276;25745.7844;10581.388;5.8385;2944.0638;13624.1459;10890.1236;3;2;21066.402;87.468;-1933.0539
14700;2;3;682.2448;2728.9791;15065.0338;17580.9871;12.7418;2889.0148;13920.6504;10648.6681;3;0;21066.402;87.468;-1933.0539
14701;3;0;1564.4229;4693.2688;24678.4699;11628.2613;5.729;2814.0148;13507.5877;10178.3975;2;0;21066.2839;87.5861;-1933.1721
14702;2;2;811.2041;3244.8163;14614.7937;17765.39;12.0308;2774.965;13803.7747;10796.2602;2;0;21066.2839;87.5861;-1933.1721
14703;3;0;1603.9469;4811.8406;24353.7076;12084.4519;5.9643;2853.7016;13022.5428;11582.0889;4;0;21066.1227;87.7473;-1933.0614
14704;3;3;1564.1228;4692.3684;22421.7457;11510.8859;5.5403;2813.8775;12577.6758;11191.7799;4;3;21065.9663;87.9037;-1932.946
14705;2;4;714.6068;2858.4271;17263.6231;17877.9499;13.3356;3025.195;14106.8806;10492.9243;4;3;21065.9663;87.9037;-1932.946
14706;3;3;1585.2576;4755.7727;22884.1043;10985.1231;4.8094;2842.3705;13542.1443;10198.8186;3;3;21065.686;88.184;-1933.4983
14707;2;3;669.4035;2677.6139;15793.3527;16904.0334;12.541;2827.3027;13744.7781;10011.2525;3;0;21065.686;88.184;-1933.4983
