StateID;StationID;CurrentRule;LocalAveProcTime;LocalAveRemainingProcTime;LocalAveLeadTime;LocalAveSlackTime;LocalAveCriticalRatio;GlobalAveRemainingProcTime;GlobalAveLeadTime;GlobalAveSlackTime;Op2Rule;Op3Rule;GlobalObjExitLeadtime;GlobalObjExitTardiness
1071;2;1;843.6403;3374.5614;11585.2993;21165.1394;13.4936;2895.5214;11195.826;10908.6526;1;3;21479.518;-1375.7696
1072;3;3;1570.6676;4712.0027;19661.8647;8751.1325;3.7561;3067.4447;10608.8732;11407.0155;0;3;21480.5662;-1374.9894
1073;2;0;843.6403;3374.5614;10791.2584;21959.1803;13.6697;3042.4447;10928.8249;11112.0638;0;4;21480.5662;-1374.9894
1074;3;4;1473.8907;4421.672;21021.1663;7432.1617;3.3554;3137.7975;11251.7932;10693.7426;1;4;21478.58;-1380.9394
1075;2;1;850.2406;3400.9623;11995.3933;20728.6444;12.641;3085.6129;11439.8109;10557.9095;1;0;21478.58;-1380.9394
1076;3;0;1590.4217;4771.2651;19878.1719;8725.5629;3.7303;3045.5902;10721.7237;10441.0194;0;0;21477.7826;-1378.306
1077;2;0;805.4595;3221.8378;10445.7819;19832.3803;11.9622;3030.6632;10942.1633;10235.5068;0;5;21477.7826;-1378.306
1078;3;5;1560.2028;4680.6085;20102.6861;8341.7055;3.805;2955.6632;10419.7907;9874.5461;5;5;21479.1981;-1377.1555
1079;2;5;863.0939;3452.3757;12290.5109;20382.1134;13.6893;2999.1487;11360.7081;10723.4766;5;4;21479.1981;-1377.1555
1080;3;4;1559.6705;4679.0116;19850.7268;8595.2617;3.6424;2835.4624;10950.1689;10256.0353;1;4;21476.592;-1383.7021
1081;3;1;1484.6705;4454.0116;17943.0411;7852.9473;3.2484;3052.1558;10688.0187;10384.8255;1;1;21477.2982;-1383.2522
1082;2;1;745.1853;2980.7411;14577.535;18316.724;12.8447;2987.8529;11261.5946;9875.5525;1;3;21477.2982;-1383.2522
1083;3;3;1602.5792;4807.7375;16402.3788;9289.8836;3.4756;2912.8529;10402.1234;9851.6903;3;3;21478.0019;-1382.804
